epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9646784663200378,1.043851613998413,5e-05,0.9849056601524353,0.9104224443435669
1,0.967395544052124,1.0349533557891846,5e-05,0.9886792302131653,0.9078788161277771
2,0.9667485952377319,1.0359182357788086,5e-05,0.99245285987854,0.8939831852912903
3,0.968559980392456,1.031928539276123,5e-05,0.99245285987854,0.8984538912773132
4,0.9689481258392334,1.0294418334960938,5e-05,0.99622642993927,0.8897872567176819
5,0.967654287815094,1.030488133430481,5e-05,0.9849056601524353,0.9131959080696106
6,0.9723120927810669,1.0278258323669434,5e-05,0.99245285987854,0.9026660919189453
7,0.9692068696022034,1.0250333547592163,5e-05,0.99245285987854,0.8940255045890808
8,0.9701125621795654,1.0206397771835327,5e-05,0.9886792302131653,0.8836137056350708
9,0.9686893224716187,1.026250958442688,5e-05,0.9811320900917053,0.8999473452568054
