loss,num_output_loss,suit_output_loss,num_output_accuracy,suit_output_accuracy,val_loss,val_num_output_loss,val_suit_output_loss,val_num_output_accuracy,val_suit_output_accuracy,lr,epoch
3.56760573387146,2.711240530014038,1.5661994218826294,0.12486758828163147,0.34375,3.0026676654815674,2.3499794006347656,1.159055471420288,0.1875,0.55859375,1e-04,0
2.854449510574341,2.227322816848755,1.108017086982727,0.24046610295772552,0.5096663236618042,2.6646060943603516,2.1139707565307617,0.9551018476486206,0.2734375,0.6328125,1e-04,1
2.499192476272583,1.9299777746200562,0.9922904968261719,0.3543432056903839,0.5729607939720154,2.3208956718444824,1.848707914352417,0.7982627153396606,0.3671875,0.68359375,1e-04,2
2.2299201488494873,1.697530746459961,0.9186880588531494,0.4306144118309021,0.6056673526763916,2.099942207336426,1.6506497859954834,0.7525063753128052,0.47265625,0.67578125,1e-04,3
2.0001273155212402,1.495373249053955,0.8634259700775146,0.5009269118309021,0.6381090879440308,1.8402388095855713,1.4359080791473389,0.6625809669494629,0.55078125,0.7265625,1e-04,4
1.8313847780227661,1.3520777225494385,0.8125372529029846,0.5504502058029175,0.6639300584793091,1.6110429763793945,1.2432070970535278,0.589594841003418,0.60546875,0.76171875,1e-04,5
1.6642919778823853,1.211806058883667,0.7588911652565002,0.6043432354927063,0.6872351765632629,1.4265103340148926,1.076594591140747,0.553746223449707,0.66796875,0.76953125,1e-04,6
1.4878894090652466,1.0607531070709229,0.7081649899482727,0.6557203531265259,0.7151747941970825,1.2336138486862183,0.9221274256706238,0.47684723138809204,0.70703125,0.796875,1e-04,7
1.3616563081741333,0.9581570625305176,0.6608598232269287,0.6860434412956238,0.7243114113807678,1.1524721384048462,0.8677035570144653,0.42338570952415466,0.74609375,0.8203125,1e-04,8
1.2296711206436157,0.8420088887214661,0.6291546821594238,0.7278866767883301,0.7451006174087524,1.0487452745437622,0.7803947925567627,0.39051806926727295,0.74609375,0.84375,1e-04,9
1.1210658550262451,0.7537397742271423,0.588455080986023,0.7597987055778503,0.7643008232116699,1.0039396286010742,0.7486493587493896,0.3643726706504822,0.77734375,0.85546875,1e-04,10
1.0223528146743774,0.6840669512748718,0.530353844165802,0.7723782062530518,0.7895921468734741,0.8111079335212708,0.583203911781311,0.3095765709877014,0.8125,0.859375,1e-04,11
0.9400820732116699,0.612125813961029,0.5096615552902222,0.7980667352676392,0.8041578531265259,0.8007844090461731,0.5712067484855652,0.3128971755504608,0.8046875,0.875,1e-04,12
