loss,accuracy,precision,recall,val_loss,val_accuracy,val_precision,val_recall,lr,epoch
0.073433056473732,0.9742261171340942,0.9792563319206238,0.9721538424491882,0.11492317914962769,0.9735848903656006,0.9735848903656006,0.9735848903656006,5e-05,0
0.08221400529146194,0.9738376140594482,0.9787289500236511,0.9713767766952515,0.12198217213153839,0.9773585200309753,0.9772727489471436,0.9735848903656006,5e-05,1
0.07130014896392822,0.9769459962844849,0.9826257228851318,0.9742261171340942,0.0769171267747879,0.9811320900917053,0.9810606241226196,0.9773585200309753,5e-05,2
0.07391157746315002,0.9738376140594482,0.9794744253158569,0.9703406095504761,0.15930922329425812,0.9547169804573059,0.961685836315155,0.947169840335846,5e-05,3
0.0728171244263649,0.9762983918190002,0.9800443649291992,0.9731900095939636,0.18902084231376648,0.9622641801834106,0.9622641801834106,0.9622641801834106,5e-05,4
0.07550255209207535,0.9747442007064819,0.9800182580947876,0.9718948602676392,0.1898237019777298,0.9660377502441406,0.9660377502441406,0.9660377502441406,5e-05,5
0.06385362148284912,0.9790182709693909,0.9852171540260315,0.9753918051719666,0.13140854239463806,0.9773585200309753,0.9773585200309753,0.9773585200309753,5e-05,6
0.06814185529947281,0.978759229183197,0.98239666223526,0.9757803678512573,0.09451520442962646,0.9811320900917053,0.9810606241226196,0.9773585200309753,5e-05,7
0.04312833398580551,0.9856235980987549,0.9886659979820251,0.982903778553009,0.09229281544685364,0.9698113203048706,0.9698113203048706,0.9698113203048706,2.5e-05,8
0.03876515477895737,0.9867892861366272,0.9894654750823975,0.9853646159172058,0.0939163938164711,0.9660377502441406,0.9660377502441406,0.9660377502441406,2.5e-05,9
