loss,accuracy,val_loss,val_accuracy,lr,epoch
1.043851613998413,0.9646784663200378,0.9104224443435669,0.9849056601524353,5e-05,0
1.0349533557891846,0.967395544052124,0.9078788161277771,0.9886792302131653,5e-05,1
1.0359182357788086,0.9667485952377319,0.8939831852912903,0.99245285987854,5e-05,2
1.031928539276123,0.968559980392456,0.8984538912773132,0.99245285987854,5e-05,3
1.0294418334960938,0.9689481258392334,0.8897872567176819,0.99622642993927,5e-05,4
1.030488133430481,0.967654287815094,0.9131959080696106,0.9849056601524353,5e-05,5
1.0278258323669434,0.9723120927810669,0.9026660919189453,0.99245285987854,5e-05,6
1.0250333547592163,0.9692068696022034,0.8940255045890808,0.99245285987854,5e-05,7
1.0206397771835327,0.9701125621795654,0.8836137056350708,0.9886792302131653,5e-05,8
1.026250958442688,0.9686893224716187,0.8999473452568054,0.9811320900917053,5e-05,9
