loss,accuracy,val_loss,val_accuracy,lr,epoch
3.5786263942718506,0.14853529632091522,5.11224365234375,0.022641509771347046,0.001,0
2.807992935180664,0.32184797525405884,3.8144888877868652,0.16981132328510284,0.001,1
2.427581310272217,0.4666408598423004,3.4277424812316895,0.22264151275157928,0.001,2
2.2155840396881104,0.5565879344940186,3.523402214050293,0.27547168731689453,0.001,3
2.031012535095215,0.6293715238571167,2.494060754776001,0.5320754647254944,0.001,4
1.9266284704208374,0.6670538187026978,2.855954885482788,0.37735849618911743,0.001,5
1.8694391250610352,0.6893792748451233,3.519984483718872,0.26037734746932983,0.001,6
1.8067295551300049,0.7115756869316101,1.93073308467865,0.6754717230796814,0.001,7
1.710601568222046,0.742805540561676,2.1542210578918457,0.6037735939025879,0.001,8
1.6864269971847534,0.7537747025489807,2.406339406967163,0.4716981053352356,0.001,9
1.6332371234893799,0.7742934823036194,2.3936266899108887,0.5132075548171997,0.001,10
1.5855051279067993,0.7871983647346497,1.673854947090149,0.7622641324996948,0.001,11
1.563066840171814,0.7951993942260742,1.6603035926818848,0.7811321020126343,0.001,12
1.5386700630187988,0.8062976002693176,1.8462072610855103,0.7358490824699402,0.001,13
1.4993516206741333,0.8192024827003479,1.870033621788025,0.6943396329879761,0.001,14
1.4882264137268066,0.8217834830284119,1.574791431427002,0.8226414918899536,0.001,15
1.4486013650894165,0.8305587768554688,1.8669917583465576,0.7207547426223755,0.001,16
1.463411569595337,0.8293973207473755,2.3757760524749756,0.5924528241157532,0.001,17
1.466461181640625,0.8253968358039856,1.594508409500122,0.7698113322257996,0.001,18
1.4278535842895508,0.8423022031784058,1.5197083950042725,0.796226441860199,0.001,19
