epoch,loss,lr,num_output_accuracy,num_output_loss,suit_output_accuracy,suit_output_loss,val_loss,val_num_output_accuracy,val_num_output_loss,val_suit_output_accuracy,val_suit_output_loss
0,4.372879505157471,1e-04,0.08858580142259598,3.2699575424194336,0.2758209705352783,1.88876473903656,3.3859314918518066,0.1171875,2.554403305053711,0.31640625,1.3459551334381104
1,4.0949530601501465,1e-04,0.10712394118309021,3.0678281784057617,0.3079978823661804,1.7371325492858887,3.291511058807373,0.16015625,2.495623826980591,0.40625,1.274643063545227
2,3.9290645122528076,1e-04,0.11930614709854126,2.963651180267334,0.3463982939720154,1.613685965538025,3.1599531173706055,0.2109375,2.39505672454834,0.44921875,1.2126445770263672
3,3.7725775241851807,1e-04,0.1355932205915451,2.8516814708709717,0.3783103823661804,1.524639368057251,2.967618942260742,0.23046875,2.251821994781494,0.578125,1.1144355535507202
4,3.5832679271698,1e-04,0.16459216177463531,2.6999292373657227,0.40505826473236084,1.449520230293274,2.8435404300689697,0.26953125,2.1706619262695312,0.62109375,1.0286030769348145
5,3.443060874938965,1e-04,0.18869173526763916,2.5981833934783936,0.42796608805656433,1.3726060390472412,2.701234817504883,0.296875,2.0515635013580322,0.66015625,0.9821996688842773
6,3.363525390625,1e-04,0.19319385290145874,2.5356836318969727,0.4438559412956238,1.3385494947433472,2.5591483116149902,0.31640625,1.9684324264526367,0.73828125,0.8643069863319397
7,3.2406604290008545,1e-04,0.2081567794084549,2.448845386505127,0.4774894118309021,1.2665165662765503,2.5136160850524902,0.36328125,1.9199293851852417,0.72265625,0.8702750205993652
8,3.166346311569214,1e-04,0.22457626461982727,2.382493257522583,0.4899364411830902,1.250624179840088,2.4297432899475098,0.33984375,1.864492416381836,0.7578125,0.81343674659729
9,3.0659070014953613,1e-04,0.2523834705352783,2.311802387237549,0.5338982939720154,1.191161036491394,2.408616065979004,0.359375,1.8394960165023804,0.76953125,0.8212122917175293
10,2.9998133182525635,1e-04,0.26403602957725525,2.256395101547241,0.5391949415206909,1.1698284149169922,2.3823976516723633,0.3671875,1.8229241371154785,0.76953125,0.8019624948501587
11,2.934861421585083,1e-04,0.27952858805656433,2.20493483543396,0.5582627058029175,1.1428934335708618,2.351193904876709,0.35546875,1.7983973026275635,0.77734375,0.7886583805084229
12,2.8718438148498535,1e-04,0.3013771176338196,2.148239850997925,0.5626324415206909,1.1302995681762695,2.3258557319641113,0.37109375,1.7798895835876465,0.77734375,0.7750509977340698
